dataset,seed,seed_type,accuracy,precision,recall,specificity,f1_score,auc,ap,eer,bpcer_5,bpcer_10,bpcer_20
LMA,42,fixed,0.9667194928684627,0.9541150764748726,1.0,0.8919382504288165,0.9765188222139396,0.9996909902714309,0.999861530070496,0.009344270881070559,0.0,0.0,0.0
LMA_UBO,42,fixed,0.9637033140452393,0.9502523431867339,1.0,0.8816466552315609,0.9744916820702403,0.9994963521318491,0.9997699031625127,0.00808179137265517,0.0017152658662092624,0.0017152658662092624,0.0
MIPGAN_I,42,fixed,0.2998421883219358,0.45255474452554745,0.04704097116843703,0.8713550600343053,0.0852233676975945,0.5212195826620197,0.6676811583405508,0.4754247170071604,0.8850771869639794,0.8113207547169812,0.7186963979416809
MIPGAN_II,42,fixed,0.3072067332982641,0.5041322314049587,0.04628224582701062,0.8970840480274442,0.0847810979847116,0.4898268336296223,0.6573462081007191,0.5140195004125487,0.8867924528301887,0.8353344768439108,0.7409948542024014
MorDiff,42,fixed,0.7077528770442156,0.8367268536304264,0.8013245033112583,0.2722602739726027,0.8186431121969555,0.5329242140171561,0.8201038863889463,0.46932046125777416,0.898972602739726,0.8304794520547946,0.726027397260274
StyleGAN_IWBF,42,fixed,0.26610348468849,0.03529411764705882,0.002288329519450801,0.8593481989708405,0.004297994269340974,0.2580905990085214,0.5458879766887503,0.6738155703226296,0.9965694682675815,0.9828473413379074,0.9519725557461407
