seed,seed_type,epoch,train_loss,train_recon_loss,train_cls_loss,val_loss,val_recon_loss,val_cls_loss,val_acc,val_precision,val_recall,val_f1,learning_rate
42,fixed
42,,1,0.010343301203101873,1.2159303522109985,0.0,1.2123075988557603,1.2123075988557603,0.0,0.0,0.0,0.0,0.0,5e-05
42,,2,0.010343537405133248,1.218896095752716,0.0,1.2086196608013577,1.2086196608013577,0.0,0.0,0.0,0.0,0.0,4.9692208514878444e-05
42,,3,0.01033973528072238,1.2189027333259583,0.0,1.2118201785617404,1.2118201785617404,0.0,0.0,0.0,0.0,0.0,4.877641290737884e-05
42,,4,2.012953314781189,1.2164853358268737,2.012953314781189,1.6178907023535833,1.2113689051734076,1.6178907023535833,0.8480565371024735,0.8090909090909091,0.994413407821229,0.8922305764411027,4.72751631047092e-05
42,,5,1.7549795770645142,1.2192923426628113,1.7549795770645142,1.4770381185743544,1.211164606942071,1.4770381185743544,0.9151943462897526,0.8855721393034826,0.994413407821229,0.9368421052631579,4.522542485937369e-05
42,,6,1.6266241598129272,1.2123563385009766,1.6266241598129272,1.4259438117345173,1.2105480697419908,1.4259438117345173,0.9399293286219081,0.9175257731958762,0.994413407821229,0.9544235924932976,4.267766952966369e-05
42,,7,1.5592871618270874,1.2193715929985047,1.5592871618270874,1.3885595401128132,1.2098201115926106,1.3885595401128132,0.9540636042402827,0.9368421052631579,0.994413407821229,0.964769647696477,3.969463130731183e-05
42,,8,1.50400230884552,1.2151705455780029,1.50400230884552,1.3752266301049128,1.2129360304938421,1.3752266301049128,0.950530035335689,0.9319371727748691,0.994413407821229,0.9621621621621621,3.634976249348867e-05
42,,9,1.4567507457733155,1.2095857810974122,1.4567507457733155,1.3672287331687079,1.2184655798806086,1.3672287331687079,0.950530035335689,0.927461139896373,1.0,0.9623655913978495,3.272542485937369e-05
42,,10,1.4548235487937928,1.2157598400115968,1.4548235487937928,1.3365546862284343,1.2129111819797092,1.3365546862284343,0.9717314487632509,0.9572192513368984,1.0,0.9781420765027322,2.891086162600578e-05
42,,11,1.4332496953010558,1.2126328563690185,1.4332496953010558,1.327805479367574,1.2099909782409668,1.327805479367574,0.9681978798586572,0.9521276595744681,1.0,0.9754768392370572,2.5000000000000005e-05
42,,12,1.4320601630210876,1.214437997341156,1.4320601630210876,1.3318735228644476,1.2058496872584026,1.3318735228644476,0.9611307420494699,0.9468085106382979,0.994413407821229,0.9700272479564034,2.108913837399424e-05
42,,13,1.4023779296875,1.2193059134483337,1.4023779296875,1.3318432569503784,1.2169866429434881,1.3318432569503784,0.9646643109540636,0.9518716577540107,0.994413407821229,0.9726775956284153,1.727457514062632e-05
42,,14,1.3951777768135072,1.2149556756019593,1.3951777768135072,1.3205751180648804,1.214631650182936,1.3205751180648804,0.9681978798586572,0.9521276595744681,1.0,0.9754768392370572,1.3650237506511335e-05
