seed,seed_type,epoch,train_loss,val_loss,val_acc,learning_rate
42,fixed
42,,1,112896.6840625,0.6637996170255873,0.6784452296819788,5e-05
42,,2,112896.65609375,0.637522558371226,0.6643109540636042,4.9453690018345144e-05
42,,3,112896.63734375,0.6138712035285102,0.6643109540636042,4.783863644106502e-05
42,,4,112896.6140625,0.5947709216011895,0.6643109540636042,4.522542485937369e-05
42,,5,112896.5996875,0.5783873266643949,0.6855123674911661,4.172826515897146e-05
42,,6,112896.58625,0.5653813680013021,0.6996466431095406,3.7500000000000003e-05
42,,7,112896.57015625,0.5535904102855258,0.7420494699646644,3.272542485937369e-05
42,,8,112896.5609375,0.5438541571299235,0.7809187279151943,2.7613211581691344e-05
42,,9,112896.55359375,0.5360540946324667,0.8374558303886925,2.2386788418308672e-05
42,,10,112896.54890625,0.5306672983699374,0.8480565371024735,1.727457514062632e-05
