seed,seed_type,epoch,train_loss,val_loss,val_acc,learning_rate
42,fixed
42,,1,112896.68421875,0.6718401047918532,0.6643109540636042,5e-05
42,,2,112896.6678125,0.6550009118186103,0.6643109540636042,4.9453690018345144e-05
42,,3,112896.66203125,0.6436296767658658,0.6643109540636042,4.783863644106502e-05
42,,4,112896.65109375,0.6361686918470595,0.6643109540636042,4.522542485937369e-05
42,,5,112896.6490625,0.6322911183039347,0.6643109540636042,4.172826515897146e-05
42,,6,112896.6475,0.6282917526033189,0.6643109540636042,3.7500000000000003e-05
42,,7,112896.64109375,0.6254456043243408,0.6643109540636042,3.272542485937369e-05
42,,8,112896.63953125,0.62384651766883,0.6643109540636042,2.7613211581691344e-05
42,,9,112896.63890625,0.6218316952387491,0.6643109540636042,2.2386788418308672e-05
42,,10,112896.6384375,0.6198679076300727,0.6643109540636042,1.727457514062632e-05
42,,11,112896.6378125,0.6187951631016202,0.6643109540636042,1.2500000000000009e-05
42,,12,112896.6359375,0.6176852186520895,0.6643109540636042,8.271734841028555e-06
42,,13,112896.63484375,0.6181622015105354,0.6643109540636042,4.774575140626317e-06
42,,14,112896.6353125,0.6172966957092285,0.6643109540636042,2.161363558934976e-06
42,,15,112896.636875,0.6181257963180542,0.6643109540636042,5.46309981654858e-07
